      0     -125       90      -30      -60     -425      145     -125  
   -125        0      105      -50     -125     -425      -85     -135  
     90      105        0       -5      135     -425     -135       45  
    -30      -50       -5        0      -80     -425      -80      -90  
    -60     -125      135      -80        0     -425     -135       80  
   -425     -425     -425     -425     -425        0     -425     -360  
    145      -85     -135      -80     -135     -425        0     -210  
   -125     -135       45      -90       80     -360     -210        0  
0
0
0
0
0
0
0
0
      0        0        0        0        0        0        0        0  
      0        0        0        0        0        0        0        0  
      0        0        0        0        0        0        0        0  
      0        0        0        0        0        0        0        0  
      0        0        0        0        0        0        0        0  
      0        0        0        0        0        0        0        0  
      0        0        0        0        0        0        0        0  
      0        0        0        0        0        0        0        0  
